 	عبد	ال	 	m
 	احمد	 	m
 	m
 	علی	 	m
 	امیر	 	m
 	اظہر	 	m
 	عزیز	 	m
 	عذرا	 	f
 	بابر	 	m
 	بابر	 	m
 	بابر	 	m
 	بلال	 	m
 	دانیال	 	m
 	فہمیدہ	 	f
 	فرّخ	 	m
 	فیروز	 	m
 	فیروز	 	m
 	غلام	 	m
 	گُل	 	unisex
 	گُلبدن	 	f
 	گُلباحار	 	unisex
 	گُلناز	 	f
 	گُلرخ	 	f
 	گُلشن	 	unisex
 	گُلزار	 	unisex
 	حارث	 	m
 	ہارون	 	m
 	حسّان	 	m
 	جہانگیر	 	m
 	جاوید	 	m
 	جاوید	 	m
 	خان	 	m
 	خورشید	 	unisex
 	محمود	 	m
 	محمود	 	m
 	محمّد	 	m
 	محمّد	 	m
 	مراد	 	m
 	نسیم	 	unisex
 	نسیم	 	unisex
 	ندا	 	f
 	نور	 	unisex
 	نور	 	unisex
 	سائرہ	 	f
 	سردار	 	m
 	شبنم	 	f
 	شاہد	 	m
 	شاہ	جہان	 	m
 	شہناز	 	unisex
 	شاہرخ	 	m
 	شہزاد	 	m
 	شاندار	 	m
 	شیر	 	m
 	سکندر	 	m
 	m
 	سہیل	 	m
 	سید	 	m
 	سیدہ	 	f
 	یاسر	 	m
